Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Area Count,Crop Flow(bu/h),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Moisture(%),Speed(mph),Swath Width(ft),Yield (Dry)(bu/ac),Yield (Wet)(bu/ac),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac)
-86.18825965,40.98211259,AULT,HOME,BACK LANE44,On,146.86,2.448,7/9/2020,No,799.33,13.50,1.394,35.00,24.84,24.84,1490.4,1490.4
-86.18825388,40.98211707,AULT,HOME,BACK LANE44,On,302.92,5.049,7/9/2020,No,799.20,13.50,1.532,35.00,46.60,46.60,2795.9,2795.9
-86.18824719,40.98212149,AULT,HOME,BACK LANE44,On,322.77,5.380,7/9/2020,No,799.17,13.50,1.561,35.00,48.73,48.73,2923.6,2923.6
-86.18824109,40.98212513,AULT,HOME,BACK LANE44,On,279.32,4.655,7/9/2020,No,799.15,13.50,1.488,35.00,44.26,44.26,2655.6,2655.6
-86.18823544,40.98212818,AULT,HOME,BACK LANE44,On,318.28,5.305,7/9/2020,No,799.14,13.50,1.331,35.00,56.37,56.37,3382.0,3382.0
-86.18823011,40.98213086,AULT,HOME,BACK LANE44,On,305.54,5.092,7/9/2020,No,799.17,13.50,1.304,35.00,55.22,55.22,3313.5,3313.5
-86.18822265,40.98213434,AULT,HOME,BACK LANE44,On,340.75,5.679,7/9/2020,No,799.06,13.50,1.590,35.00,50.50,50.50,3030.1,3030.1
-86.18821543,40.98213763,AULT,HOME,BACK LANE44,On,434.35,7.239,7/9/2020,No,799.10,13.50,1.660,35.00,61.68,61.68,3701.0,3701.0
-86.18820829,40.98214075,AULT,HOME,BACK LANE44,On,332.14,5.536,7/9/2020,No,799.14,13.50,1.655,35.00,47.30,47.30,2837.7,2837.7
-86.18820057,40.98214405,AULT,HOME,BACK LANE44,On,323.52,5.392,7/9/2020,No,799.09,13.50,1.698,35.00,44.92,44.92,2694.9,2694.9
-86.18819306,40.98214665,AULT,HOME,BACK LANE44,On,391.23,6.520,7/9/2020,No,799.25,13.50,1.651,35.00,55.86,55.86,3351.6,3351.6
-86.18818509,40.98214914,AULT,HOME,BACK LANE44,On,317.53,5.292,7/9/2020,No,799.34,13.50,1.696,35.00,44.14,44.14,2648.5,2648.5
-86.18817683,40.98215194,AULT,HOME,BACK LANE44,On,245.98,4.100,7/9/2020,No,799.41,13.50,1.722,35.00,33.66,33.66,2019.7,2019.7
-86.18816778,40.98215452,AULT,HOME,BACK LANE44,On,165.81,2.764,7/9/2020,No,799.48,13.50,1.872,35.00,20.87,20.87,1252.5,1252.5
-86.18815822,40.98215684,AULT,HOME,BACK LANE44,On,76.33,1.272,7/9/2020,No,799.59,13.50,1.852,35.00,9.714,9.714,582.83,582.83
-86.18814867,40.98215892,AULT,HOME,BACK LANE44,On,93.17,1.553,7/9/2020,No,799.71,13.50,1.890,35.00,11.62,11.62,697.14,697.14
-86.18813920,40.98216048,AULT,HOME,BACK LANE44,On,291.68,4.861,7/9/2020,No,799.82,13.50,1.879,35.00,36.59,36.59,2195.4,2195.4
-86.18812899,40.98216198,AULT,HOME,BACK LANE44,On,369.22,6.154,7/9/2020,No,799.83,13.50,1.884,35.00,46.21,46.21,2772.4,2772.4
-86.18811876,40.98216273,AULT,HOME,BACK LANE44,On,610.35,10.17,7/9/2020,No,799.82,13.50,1.879,35.00,76.57,76.57,4593.9,4593.9
-86.18810844,40.98216322,AULT,HOME,BACK LANE44,On,436.89,7.281,7/9/2020,No,799.83,13.50,1.890,35.00,54.48,54.48,3268.9,3268.9
-86.18809924,40.98216291,AULT,HOME,BACK LANE44,On,277.82,4.630,7/9/2020,No,799.80,13.50,1.651,35.00,39.67,39.67,2380.1,2380.1
-86.18812868,40.98217858,AULT,HOME,BACK LANE44,On,11.06,0.184,7/9/2020,No,801.08,13.50,1.651,8.688,6.362,6.362,381.71,381.71
-86.18812623,40.98218753,AULT,HOME,BACK LANE44,On,77.91,1.298,7/9/2020,No,801.00,13.50,2.145,9.045,33.12,33.12,1987.4,1987.4
